Isolate	Species.Predicted	ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	Resistance	Host.Group	Genus	Species	Strain	Assembly.Accession	Isolation.Country	Geographic.Group	Collection.Year	Collection.Date	Host.Common.Name
GCA_001492395.1	campylobacter	827	33	39	30	82	104	56	17	0	Environment	Campylobacter	Campylobacter coli	NA	GCA_001492395.1	United Kingdom	Europe	2013	2013	Environment
GCA_001492415.1	campylobacter	1681	53	38	30	81	118	71	36	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001492415.1	United Kingdom	Europe	2011	2011	Human
GCA_001492435.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001492435.1	United Kingdom	Europe	2014	2014	NA
GCA_001492455.1	campylobacter	825	33	39	30	82	113	47	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001492455.1	United Kingdom	Europe	2014	2014	Human
GCA_001492515.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001492515.1	United Kingdom	Europe	2014	2014	NA
GCA_001492535.1	campylobacter	1089	33	38	66	82	104	43	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001492535.1	United Kingdom	Europe	2014	2014	Human
GCA_001492575.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001492575.1	United Kingdom	Europe	2014	2014	NA
GCA_001492635.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001492635.1	United Kingdom	Europe	2008	2008	Human
GCA_001492655.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001492655.1	United Kingdom	Europe	2013	2013	Human
GCA_001492735.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	EC5520	GCA_001492735.1	United Kingdom	Europe	NA	NA	NA
GCA_001492775.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001492775.1	United Kingdom	Europe	2014	2014	NA
GCA_001492815.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001492815.1	United Kingdom	Europe	2014	2014	NA
GCA_001492875.1	campylobacter	1248	33	153	30	82	104	35	36	0	Human	Campylobacter	Campylobacter coli	H044220458	GCA_001492875.1	United Kingdom	Europe	NA	NA	Human
GCA_001492895.1	campylobacter	8487	130	177	88	198	160	238	76	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001492895.1	United Kingdom	Europe	2000	2000	NA
GCA_001492975.1	campylobacter	828	33	39	30	82	104	43	17	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001492975.1	United Kingdom	Europe	2012	2012	Human
GCA_001492995.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001492995.1	United Kingdom	Europe	2014	2014	NA
GCA_001493015.1	campylobacter	2488	33	38	134	240	104	117	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001493015.1	United Kingdom	Europe	1980	1980	Human
GCA_001493055.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493055.1	United Kingdom	Europe	2014	2014	NA
GCA_001493075.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	EC5992	GCA_001493075.1	United Kingdom	Europe	NA	NA	NA
GCA_001493115.1	campylobacter	828	33	39	30	82	104	43	17	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001493115.1	United Kingdom	Europe	2013	2013	Human
GCA_001493135.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493135.1	United Kingdom	Europe	2013	2013	NA
GCA_001493155.1	campylobacter	827	33	39	30	82	104	56	17	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001493155.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001493175.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493175.1	United Kingdom	Europe	2014	2014	NA
GCA_001493235.1	campylobacter	1090	87	39	30	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001493235.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001493315.1	campylobacter	5165	33	39	30	82	189	44	17	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001493315.1	United Kingdom	Europe	2001	2001	Chicken
GCA_001493355.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493355.1	United Kingdom	Europe	2013	2013	NA
GCA_001493395.1	campylobacter	872	33	39	30	82	113	44	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001493395.1	United Kingdom	Europe	2009	2009	Human
GCA_001493435.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493435.1	United Kingdom	Europe	2014	2014	NA
GCA_001493475.1	campylobacter	8468	121	209	186	705	853	241	604	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493475.1	United Kingdom	Europe	2007	2007	NA
GCA_001493495.1	campylobacter	825	33	39	30	82	113	47	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001493495.1	United Kingdom	Europe	2008	2008	Human
GCA_001493555.1	campylobacter	8492	33	39	122	192	189	44	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001493555.1	United Kingdom	Europe	2012	2012	Human
GCA_001493675.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493675.1	United Kingdom	Europe	2014	2014	NA
GCA_001493695.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493695.1	United Kingdom	Europe	2014	2014	NA
GCA_001493715.1	campylobacter	962	33	39	30	82	104	47	36	0	Environment	Campylobacter	Campylobacter coli	NA	GCA_001493715.1	United Kingdom	Europe	2013	2013	Environment
GCA_001493735.1	campylobacter	8412	121	91	527	218	828	647	183	0	NA	Campylobacter	Campylobacter coli	H082560569	GCA_001493735.1	United Kingdom	Europe	NA	NA	NA
GCA_001493755.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493755.1	United Kingdom	Europe	2014	2014	NA
GCA_001493775.1	campylobacter	3306	33	39	88	113	265	43	67	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001493775.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001493795.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001493795.1	United Kingdom	Europe	2014	2014	Human
GCA_001493815.1	campylobacter	2461	81	155	30	265	231	220	93	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001493815.1	United Kingdom	Europe	2005	2005	Human
GCA_001493855.1	campylobacter	8447	451	239	369	699	842	656	574	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493855.1	United Kingdom	Europe	2006	2006	NA
GCA_001493895.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493895.1	United Kingdom	Europe	2014	2014	NA
GCA_001493915.1	campylobacter	8453	453	492	196	220	846	649	580	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493915.1	United Kingdom	Europe	2008	2008	NA
GCA_001493955.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001493955.1	United Kingdom	Europe	2014	2014	NA
GCA_001493975.1	campylobacter	2298	33	39	30	82	189	47	74	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001493975.1	United Kingdom	Europe	2004	2004	Human
GCA_001494015.1	campylobacter	262	2	1	1	3	2	1	3	0	Environment	Campylobacter	Campylobacter jejuni	NA	GCA_001494015.1	United Kingdom	Europe	2013	2013	Environment
GCA_001494035.1	campylobacter	8457	86	230	86	700	411	662	95	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494035.1	United Kingdom	Europe	2014	2014	NA
GCA_001494055.1	campylobacter	8434	147	633	537	696	838	654	565	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494055.1	United Kingdom	Europe	2006	2006	NA
GCA_001494075.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494075.1	United Kingdom	Europe	2014	2014	NA
GCA_001494095.1	campylobacter	8439	81	633	537	696	838	654	565	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494095.1	United Kingdom	Europe	2006	2006	NA
GCA_001494135.1	campylobacter	825	33	39	30	82	113	47	17	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001494135.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001494175.1	campylobacter	1203	33	39	30	82	113	47	68	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001494175.1	United Kingdom	Europe	2003	2003	Chicken
GCA_001494215.1	campylobacter	8411	86	230	191	691	827	129	76	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494215.1	United Kingdom	Europe	2014	2014	NA
GCA_001494275.1	campylobacter	1487	103	110	103	140	188	164	79	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001494275.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001494295.1	campylobacter	828	33	39	30	82	104	43	17	1	NA	Campylobacter	Campylobacter coli	NA	GCA_001494295.1	United Kingdom	Europe	2013	2013	NA
GCA_001494315.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494315.1	United Kingdom	Europe	2014	2014	NA
GCA_001494335.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494335.1	United Kingdom	Europe	2013	2013	NA
GCA_001494375.1	campylobacter	8491	88	86	86	198	162	126	75	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001494375.1	United Kingdom	Europe	2000	2000	Bird
GCA_001494395.1	campylobacter	3309	210	278	236	318	406	329	157	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001494395.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001494415.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494415.1	United Kingdom	Europe	2014	2014	NA
GCA_001494435.1	campylobacter	855	33	39	30	79	104	35	17	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001494435.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001494475.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001494475.1	United Kingdom	Europe	2004	2004	Human
GCA_001494515.1	campylobacter	257	9	2	4	62	4	5	6	0	NA	Campylobacter	Campylobacter jejuni	NA	GCA_001494515.1	United Kingdom	Europe	2013	2013	NA
GCA_001494535.1	campylobacter	825	33	39	30	82	113	47	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001494535.1	United Kingdom	Europe	2013	2013	Human
GCA_001494555.1	campylobacter	3311	81	86	87	113	270	238	152	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001494555.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001494615.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001494615.1	United Kingdom	Europe	1980	1980	Human
GCA_001494695.1	campylobacter	8415	128	446	530	218	271	649	173	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494695.1	United Kingdom	Europe	2008	2008	NA
GCA_001494715.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	CCN59	GCA_001494715.1	United Kingdom	Europe	NA	NA	NA
GCA_001494735.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494735.1	United Kingdom	Europe	2014	2014	NA
GCA_001494755.1	campylobacter	8446	128	274	547	698	841	208	235	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494755.1	United Kingdom	Europe	2009	2009	NA
GCA_001494815.1	campylobacter	7117	33	66	65	192	189	44	17	1	NA	Campylobacter	Campylobacter coli	NA	GCA_001494815.1	United Kingdom	Europe	2013	2013	NA
GCA_001494835.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494835.1	United Kingdom	Europe	2014	2014	NA
GCA_001494855.1	campylobacter	8433	86	86	370	271	837	280	76	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494855.1	United Kingdom	Europe	2000	2000	NA
GCA_001494875.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494875.1	United Kingdom	Europe	2014	2014	NA
GCA_001494915.1	campylobacter	830	33	39	30	79	104	47	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001494915.1	United Kingdom	Europe	2005	2005	Human
GCA_001494935.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494935.1	United Kingdom	Europe	2014	2014	NA
GCA_001494955.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001494955.1	United Kingdom	Europe	2014	2014	NA
GCA_001495015.1	campylobacter	1090	87	39	30	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001495015.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001495035.1	campylobacter	6288	335	433	376	182	627	208	375	0	Human	Campylobacter	Campylobacter coli	H124620276a	GCA_001495035.1	United Kingdom	Europe	NA	NA	Human
GCA_001495055.1	campylobacter	8331	87	39	30	82	189	43	74	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001495055.1	United Kingdom	Europe	2012	2012	Human
GCA_001495095.1	campylobacter	1487	103	110	103	140	188	164	79	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001495095.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001495115.1	campylobacter	8444	210	207	545	220	689	241	173	0	NA	Campylobacter	Campylobacter coli	H094560713	GCA_001495115.1	United Kingdom	Europe	NA	NA	NA
GCA_001495135.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495135.1	United Kingdom	Europe	2014	2014	NA
GCA_001495155.1	campylobacter	4149	33	39	30	82	113	43	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001495155.1	United Kingdom	Europe	2009	2009	Chicken
GCA_001495175.1	campylobacter	1988	130	189	87	258	277	129	153	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495175.1	United Kingdom	Europe	2000	2000	NA
GCA_001495215.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495215.1	United Kingdom	Europe	2014	2014	NA
GCA_001495235.1	campylobacter	872	33	39	30	82	113	44	17	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001495235.1	United Kingdom	Europe	2014	2014	Human
GCA_001495275.1	campylobacter	8414	121	623	529	226	830	648	548	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495275.1	United Kingdom	Europe	2008	2008	NA
GCA_001495375.1	campylobacter	2737	53	38	30	82	104	44	36	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001495375.1	United Kingdom	Europe	2004	2004	Human
GCA_001495415.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495415.1	United Kingdom	Europe	2009	2009	NA
GCA_001495435.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495435.1	United Kingdom	Europe	2014	2014	NA
GCA_001495475.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495475.1	United Kingdom	Europe	2014	2014	NA
GCA_001495515.1	campylobacter	828	33	39	30	82	104	43	17	1	NA	Campylobacter	Campylobacter coli	H063800423	GCA_001495515.1	United Kingdom	Europe	NA	NA	NA
GCA_001495535.1	campylobacter	8461	128	631	506	702	271	653	592	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495535.1	United Kingdom	Europe	2007	2007	NA
GCA_001495555.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495555.1	United Kingdom	Europe	2009	2009	NA
GCA_001495575.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495575.1	United Kingdom	Europe	2014	2014	NA
GCA_001495595.1	campylobacter	1090	87	39	30	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001495595.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001495635.1	campylobacter	7880	53	39	123	82	104	35	36	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001495635.1	United Kingdom	Europe	2004	2004	Human
GCA_001495655.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001495655.1	United Kingdom	Europe	2007	2007	Human
GCA_001495695.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495695.1	United Kingdom	Europe	2014	2014	NA
GCA_001495735.1	campylobacter	854	33	38	30	82	104	43	17	0	Human	Campylobacter	Campylobacter coli	H060280132	GCA_001495735.1	United Kingdom	Europe	NA	NA	Human
GCA_001495775.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495775.1	United Kingdom	Europe	2014	2014	NA
GCA_001495795.1	campylobacter	1090	87	39	30	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001495795.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001495815.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495815.1	United Kingdom	Europe	2013	2013	NA
GCA_001495835.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495835.1	United Kingdom	Europe	2014	2014	NA
GCA_001495855.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495855.1	United Kingdom	Europe	2014	2014	NA
GCA_001495875.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495875.1	United Kingdom	Europe	2013	2013	NA
GCA_001495895.1	campylobacter	825	33	39	30	82	113	47	17	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001495895.1	United Kingdom	Europe	2003	2003	Chicken
GCA_001495915.1	campylobacter	3319	130	230	86	124	165	209	242	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495915.1	United Kingdom	Europe	2013	2013	NA
GCA_001495955.1	campylobacter	8442	145	635	233	697	839	649	568	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001495955.1	United Kingdom	Europe	2008	2008	NA
GCA_001495995.1	campylobacter	872	33	39	30	82	113	44	17	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001495995.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001496015.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496015.1	United Kingdom	Europe	2014	2014	NA
GCA_001496035.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496035.1	United Kingdom	Europe	2014	2014	NA
GCA_001496055.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496055.1	United Kingdom	Europe	2014	2014	NA
GCA_001496075.1	campylobacter	257	9	2	4	62	4	5	6	0	NA	Campylobacter	Campylobacter jejuni	NA	GCA_001496075.1	United Kingdom	Europe	2013	2013	NA
GCA_001496095.1	campylobacter	8413	121	621	528	692	829	576	545	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001496095.1	United Kingdom	Europe	2007	2007	Human
GCA_001496115.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496115.1	United Kingdom	Europe	2014	2014	NA
GCA_001496135.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496135.1	United Kingdom	Europe	2013	2013	NA
GCA_001496155.1	campylobacter	828	33	39	30	82	104	43	17	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001496155.1	United Kingdom	Europe	2005	2005	Human
GCA_001496175.1	campylobacter	2488	33	38	134	240	104	117	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001496175.1	United Kingdom	Europe	2007	2007	Human
GCA_001496215.1	campylobacter	1749	33	39	65	139	113	56	17	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001496215.1	United Kingdom	Europe	2009	2009	Chicken
GCA_001496255.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496255.1	United Kingdom	Europe	2014	2014	NA
GCA_001496275.1	campylobacter	1090	87	39	30	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001496275.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001496295.1	campylobacter	828	33	39	30	82	104	43	17	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001496295.1	United Kingdom	Europe	2004	2004	Human
GCA_001496355.1	campylobacter	1090	87	39	30	82	189	44	74	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001496355.1	United Kingdom	Europe	2004	2004	Chicken
GCA_001496375.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496375.1	United Kingdom	Europe	2011	2011	NA
GCA_001496395.1	campylobacter	828	33	39	30	82	104	43	17	1	NA	Campylobacter	Campylobacter coli	NA	GCA_001496395.1	United Kingdom	Europe	2009	2009	NA
GCA_001496435.1	campylobacter	8469	145	465	233	697	839	664	568	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001496435.1	United Kingdom	Europe	2004	2004	Human
GCA_001496475.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496475.1	United Kingdom	Europe	2014	2014	NA
GCA_001496495.1	campylobacter	828	33	39	30	82	104	43	17	1	NA	Campylobacter	Campylobacter coli	NA	GCA_001496495.1	United Kingdom	Europe	2007	2007	NA
GCA_001496515.1	campylobacter	827	33	39	30	82	104	56	17	1	Human	Campylobacter	Campylobacter coli	NA	GCA_001496515.1	United Kingdom	Europe	2006	2006	Human
GCA_001496555.1	campylobacter	8434	147	633	537	696	838	654	565	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496555.1	United Kingdom	Europe	2006	2006	NA
GCA_001496575.1	campylobacter	4434	165	39	30	79	104	35	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496575.1	United Kingdom	Europe	2009	2009	NA
GCA_001496615.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496615.1	United Kingdom	Europe	2014	2014	NA
GCA_001496635.1	campylobacter	1203	33	39	30	82	113	47	68	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001496635.1	United Kingdom	Europe	2003	2003	Chicken
GCA_001496655.1	campylobacter	825	33	39	30	82	113	47	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496655.1	United Kingdom	Europe	2013	2013	NA
GCA_001496695.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	EC3705	GCA_001496695.1	United Kingdom	Europe	NA	NA	NA
GCA_001496715.1	campylobacter	1986	33	39	167	113	265	43	67	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001496715.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001496735.1	campylobacter	1016	33	38	30	82	118	43	17	1	Human	Campylobacter	Campylobacter coli	H072820536	GCA_001496735.1	United Kingdom	Europe	NA	NA	Human
GCA_001496775.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496775.1	United Kingdom	Europe	2014	2014	NA
GCA_001496795.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001496795.1	United Kingdom	Europe	2011	2011	Human
GCA_001496835.1	campylobacter	827	33	39	30	82	104	56	17	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001496835.1	United Kingdom	Europe	2005	2005	Human
GCA_001496875.1	campylobacter	828	33	39	30	82	104	43	17	1	NA	Campylobacter	Campylobacter coli	H132600169	GCA_001496875.1	United Kingdom	Europe	NA	NA	NA
GCA_001496895.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496895.1	United Kingdom	Europe	2014	2014	NA
GCA_001496915.1	campylobacter	8437	450	281	87	269	327	279	95	0	Avian	Campylobacter	Campylobacter coli	SWAN325	GCA_001496915.1	United Kingdom	Europe	NA	NA	Mallard
GCA_001496935.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001496935.1	United Kingdom	Europe	2014	2014	NA
GCA_001497015.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497015.1	United Kingdom	Europe	2014	2014	NA
GCA_001497035.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497035.1	United Kingdom	Europe	2013	2013	NA
GCA_001497075.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497075.1	United Kingdom	Europe	2013	2013	NA
GCA_001497095.1	campylobacter	8450	137	641	189	124	844	129	76	0	Human	Campylobacter	Campylobacter coli	NA	GCA_001497095.1	United Kingdom	Europe	2005	2005	Human
GCA_001497115.1	campylobacter	1766	72	104	69	113	143	128	67	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497115.1	United Kingdom	Europe	1999	1999	NA
GCA_001497135.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497135.1	United Kingdom	Europe	2013	2013	NA
GCA_001497155.1	campylobacter	8458	121	215	549	701	849	241	586	0	NA	Campylobacter	Campylobacter coli	H081380695a	GCA_001497155.1	United Kingdom	Europe	NA	NA	NA
GCA_001497175.1	campylobacter	3319	130	230	86	124	165	209	242	0	Avian	Campylobacter	Campylobacter coli	SWAN408	GCA_001497175.1	United Kingdom	Europe	NA	NA	Mallard
GCA_001497195.1	campylobacter	8445	335	88	546	367	840	655	571	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497195.1	United Kingdom	Europe	2009	2009	NA
GCA_001497235.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497235.1	United Kingdom	Europe	2014	2014	NA
GCA_001497255.1	campylobacter	8459	138	68	551	223	850	248	161	1	NA	Campylobacter	Campylobacter coli	NA	GCA_001497255.1	United Kingdom	Europe	2006	2006	NA
GCA_001497275.1	campylobacter	1765	135	188	69	113	276	43	152	0	Avian	Campylobacter	Campylobacter coli	NA	GCA_001497275.1	United Kingdom	Europe	2013	2013	Mallard
GCA_001497335.1	campylobacter	1764	81	104	69	113	143	43	67	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497335.1	United Kingdom	Europe	2008	2008	NA
GCA_001497375.1	campylobacter	827	33	39	30	82	104	56	17	0	NA	Campylobacter	Campylobacter coli	NA	GCA_001497375.1	United Kingdom	Europe	2014	2014	NA
